================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
1121st    Tomas Miranda                 Krowen              991   1       50      Bot
1122nd    Goran Lulić                   Independent         1134  1       50      Bot
1123rd    Tomislav Rebić                Eckleson            1200  2       50      Bot
1124th    Davide Castella               Aria Olefson        721   1       49      Bot
1125th    Kesa Liku                     Independent         682   1       49      Bot
1126th    Emma Schumann                 Independent         809   1       49      Bot
1127th    Cristian Castro               Independent         722   1       49      Bot
1128th    Hendrik Becker                Independent         1121  1       49      Bot
1129th    Sven Nordin                   Saitama             1209  1       49      Bot
1130th    Raymond Duenas                Independent         1265  1       49      Bot
1131st    Jean-Claude Robert            Independent         1047  1       49      Bot
1132nd    Shirley Gill                  Independent         1091  1       49      Bot
1133rd    Anastasia Kuznetsova          Independent         382   1       49      Bot
1134th    Jim Cunningham                Independent         471   1       49      Bot
1135th    Sandra Jung                   Independent         643   1       49      Bot
1136th    Vanessa Molina                Aguda               638   1       49      Bot
1137th    Chamroeun Sat                 Kumori              834   1       49      Bot
1138th    Alexandre Laurent             Independent         899   1       49      Bot
1139th    Cristian Jimenez              Independent         561   1       49      Bot
1140th    Antoni Laskowski              Independent         1052  1       49      Bot
1141st    Isamu Noguchi                 Independent         1001  1       49      Bot
1142nd    Christopher Eskildsen         Independent         449   1       49      Bot
1143rd    Sadie Healy                   Independent         433   1       49      Bot
1144th    Ronald Verhoeven              Independent         1194  1       49      Bot
1145th    Willy Frederiksen             Independent         1002  1       49      Bot
1146th    Martina Robinson              Kumori              456   1       49      Bot
1147th    Joseph Stein                  Independent         1301  1       49      Bot
1148th    Hyeon Ye                      Independent         897   1       49      Bot
1149th    Ahmed Mokhtari                Formix              881   1       49      Bot
1150th    Sirje Kallas                  Monova              1130  1       49      Bot
1151st    Ned Burnett                   Pioma               739   1       49      Bot
1152nd    Daniela Fontes                Independent         786   1       49      Bot
1153rd    Jerrold Wilson                Dashix              415   1       49      Bot
1154th    Aihan Kok                     Independent         412   1       49      Bot
1155th    Evelyn Smith                  Independent         851   1       49      Bot
1156th    Bianca Kramer                 Aspire              883   1       49      Bot
1157th    Romeo Grasso                  Nuvio               879   1       49      Bot
1158th    Phillip Smith                 Hinal               726   1       49      Bot
1159th    Andrew Turnbull               Independent         627   1       49      Bot
1160th    Wilson Lewis                  Independent         1307  1       49      Bot
1161st    Sabah Syed                    Independent         431   1       49      Bot
1162nd    Annemarie Janssen             Independent         445   1       49      Bot
1163rd    Ulrika Nordström              Independent         679   1       49      Bot
1164th    Bev St-Pierre                 Independent         655   1       49      Bot
1165th    Dennis Van Dam                Heat                1157  1       49      Bot
1166th    Tyrone Montes                 Independent         1122  1       49      Bot
1167th    Alfonso Garofalo              Saint               1060  1       49      Bot
1168th    Anna Taloikwai                True Form           372   1       49      Bot
1169th    Paulius Žiogas                Independent         330   1       49      Bot
1170th    Petar Živulić                 Independent         802   1       49      Bot
1171st    Mikael Lahtinen               Independent         829   1       49      Bot
1172nd    Rosa Marinho                  Sherpa              760   1       49      Bot
1173rd    Sammy Fowler                  Independent         1020  1       49      Bot
1174th    Tom Kenny                     Independent         1087  1       49      Bot
1175th    Joël Boyer                    Base                789   1       49      Bot
1176th    James Dionne                  Independent         1082  1       49      Bot
1177th    Bitten Brodersen              Independent         647   1       48      Bot
1178th    Arjan Peters                  Roklit              1205  1       48      Bot
1179th    Aadarsh Shrestha              Independent         1290  1       48      Bot
1180th    Robin Porter                  Eckleson            1082  1       48      Bot
1181st    Pete Villarreal               Independent         575   1       48      Bot
1182nd    Akari Ōno                     Fiber Shot          654   1       48      Bot
1183rd    Sebastian Ziółkowski          Independent         1347  1       48      Bot
1184th    Guerino Becciu                Independent         922   1       48      Bot
1185th    Viola Pastore                 Independent         808   1       48      Bot
1186th    Andreea Popa                  Aspire              428   1       48      Bot
1187th    Erick Xiong                   HCOM                1116  1       48      Bot
1188th    Roger Engen                   Hinal               1132  1       48      Bot
1189th    Janna Wall                    Meisterkuhl         645   1       48      Bot
1190th    Eliyahu Amsalem               Formix              761   1       48      Bot
1191st    Sascha Hoffmann               Independent         761   1       48      Bot
1192nd    Monique Meyer                 True Form           439   1       48      Bot
1193rd    Alexander Smet                Independent         1127  1       48      Bot
1194th    Raymond Bowman                Independent         729   1       48      Bot
1195th    Ada Zavala                    Independent         745   1       48      Bot
1196th    Petar Liebowitz               Eckleson            1315  1       48      Bot
1197th    Nils Sæter                    Patriot             1283  1       48      Bot
1198th    Isaiah Villanueva             Independent         1113  1       48      Bot
1199th    Aoi Saitō                     Independent         453   1       48      Bot
1200th    Cherie Woodward               Independent         685   1       48      Bot
1201st    Willow Quintal                Independent         380   1       48      Bot
1202nd    Rena Walton                   Independent         741   1       48      Bot
1203rd    Richard De Groot              Independent         1118  1       48      Bot
1204th    Lilian Stevens                Independent         693   1       48      Bot
1205th    Maximilian Jäger              eVOX                1101  1       48      Bot
1206th    Uri Vaknin                    Independent         1066  1       48      Bot
1207th    Chiara Ferraro                Fable               568   1       47      Bot
1208th    Lily Reynolds                 True Form           578   1       47      Bot
1209th    Lingling Cheah                Independent         623   1       47      Bot
1210th    Oliwier Jasiński              Independent         1094  1       47      Bot
1211th    Ronald Van den Berg           Independent         1199  1       47      Bot
1212th    Sascha Baumann                Independent         1131  1       47      Bot
1213th    Gilbert Fontaine              Nitro               1224  1       47      Bot
1214th    Ryan Guerrero                 AI Thunder          1049  1       47      Bot
1215th    Ryung Jin                     Capital             1037  1       47      Bot
1216th    Eeva Huttunen                 Independent         557   1       47      Bot
1217th    Jeannie Byrd                  Kumori              494   1       47      Bot
1218th    Oleg Subašić                  Systech             1309  1       47      Bot
1219th    Sultan Bolatbek               Monova              747   1       47      Bot
1220th    Reshma Thani                  Fujikai             860   1       47      Bot
1221st    Majed Islam                   Independent         794   1       47      Bot
1222nd    Lily Norris                   Nitro               757   1       47      Bot
1223rd    Birgitte Håland               Independent         436   1       47      Bot
1224th    Mirjam Bakker                 Independent         396   1       47      Bot
1225th    Alex Dorsey                   Independent         1188  1       47      Bot
1226th    Eoin Graham                   eVOX                1060  1       47      Bot
1227th    Denys Petrenko                Independent         1034  1       47      Bot
1228th    Olga Wilson                   Independent         583   1       47      Bot
1229th    Anastassia Polycarpou         Independent         424   1       47      Bot
1230th    Bianca Kaufmann               Delta               942   1       47      Bot
1231st    David Abad                    Independent         1280  1       47      Bot
1232nd    Julius König                  Independent         824   1       47      Bot
1233rd    Georgios Charalambous         Independent         772   1       47      Bot
1234th    Lila Weir                     Independent         303   1       47      Bot
1235th    Jiefan Khiew                  Delta               451   1       47      Bot
1236th    Gennaro D'Angelo              eVOX                1014  1       47      Bot
1237th    Yannick Thiry                 Independent         787   1       47      Bot
1238th    Anna Shcherbina               Independent         663   1       47      Bot
1239th    Caiji Mo                      Independent         519   1       47      Bot
1240th    Marcin Pawlak                 Independent         1289  1       47      Bot
1241st    Aatos Hakkarainen             Independent         1127  1       47      Bot
1242nd    Federica Berti                Capital             394   1       47      Bot
1243rd    Betina Beck                   Independent         507   1       47      Bot
1244th    Georges Olivier               Fiber Shot          507   1       47      Bot
1245th    Federico Anthony              Independent         602   1       47      Bot
1246th    Yong West                     Independent         998   1       47      Bot
1247th    Olli Mikkonen                 Independent         927   1       47      Bot
1248th    Manuela Yu                    Monova              336   1       47      Bot
1249th    Stepan Kostenko               Meisterkuhl         1311  1       47      Bot
1250th    Mariola Nowicki               Aguda               939   1       47      Bot
1251st    Andżelika Kucharska           Independent         637   1       47      Bot
1252nd    Dennis Paquet                 Independent         1089  1       47      Bot
1253rd    Benvolio Venturi              True Form           1074  1       47      Bot
1254th    Aase Svenningsen              Fujikai             700   1       47      Bot
1255th    Trym Isaksen                  Roklit              816   1       47      Bot
1256th    Carlo Venturi                 AMO Solutions       764   1       47      Bot
1257th    Byron Henson                  Independent         1148  1       47      Bot
1258th    Jacob Andersen                YES                 1036  1       47      Bot
1259th    Jose Santiago                 Nitro               681   1       46      Bot
1260th    Wioletta Michalak             HCOM                696   1       46      Bot
1261st    Matej Đurasović               Independent         1310  1       46      Bot
1262nd    Linus Keller                  Independent         1293  1       46      Bot
1263rd    Ulf Sundström                 Patriot             1079  1       46      Bot
1264th    Poppy Rowlands                Monova              530   1       46      Bot
1265th    Anja Van Vliet                Independent         579   1       46      Bot
1266th    Chinhwa Myeong                Base                1331  1       46      Bot
1267th    Emmanouil Athanasiadis        Independent         869   1       46      Bot
1268th    Annick Laurent                Meisterkuhl         788   1       46      Bot
1269th    Aaron Higgins                 Windsail            347   1       46      Bot
1270th    Pietro Benedetti              Dashix              1248  1       46      Bot
1271st    Ian Lloyd                     Independent         1164  1       46      Bot
1272nd    Gregory Ray                   Nuvio               1023  1       46      Bot
1273rd    Unni Ali                      Independent         544   1       46      Bot
1274th    Amira Benitez                 Independent         741   1       46      Bot
1275th    Barbara Leblanc               Douvan              925   1       46      Bot
1276th    Chiara Catalano               Ampex               366   1       46      Bot
1277th    Royce Murphy                  Independent         810   1       46      Bot
1278th    Antonio Vazquez               Independent         1079  1       46      Bot
1279th    Frauke Kraus                  Independent         428   1       46      Bot
1280th    Emilie Mouritsen              Independent         691   1       46      Bot
1281st    Aatos Partanen                Patriot             945   1       46      Bot
1282nd    Luz Florez                    Eckleson            313   1       46      Bot
1283rd    Sabina Mariani                Pioma               814   1       46      Bot
1284th    Po Testa                      Independent         1141  1       46      Bot
1285th    Trinidad Baxter               Independent         1071  1       46      Bot
1286th    Mirosław Kalinowski           eVOX                1114  1       46      Bot
1287th    Ralph Gosselin                Independent         778   1       46      Bot
1288th    Ronald Jansen                 Roklit              1153  1       46      Bot
1289th    Théo Roy                      Independent         1101  1       46      Bot
1290th    Oiva Mäkinen                  Independent         886   1       45      Bot
1291st    Daniel Veres                  Douvan              1103  1       45      Bot
1292nd    Matviy Melnichuk              Independent         1270  1       45      Bot
1293rd    Maria Soriano                 Independent         1030  1       45      Bot
1294th    Erna Karlsen                  Independent         459   1       45      Bot
1295th    Max Stein                     Independent         436   1       45      Bot
1296th    Anton Obradović               Independent         1283  1       45      Bot
1297th    Luboslaw Šunjić               Independent         1021  1       45      Bot
1298th    Alba Benitez                  Meisterkuhl         673   1       45      Bot
1299th    Xander Van                    Aguda               1150  1       45      Bot
1300th    Inês Monteiro                 YES                 443   1       45      Bot
1301st    Fotios Ioannou                Fujikai             1051  1       45      Bot
1302nd    Emma Mayer                    Saint               629   1       45      Bot
1303rd    Mariana Lima                  Independent         680   1       45      Bot
1304th    Laura Hurtado                 Independent         1210  1       45      Bot
1305th    Nick Armstrong                Aria Olefson        1146  1       45      Bot
1306th    Ute Kern                      Orbit               924   1       45      Bot
1307th    Olga Ivanova                  Ampex               374   1       45      Bot
1308th    Elmer Shah                    Patriot             812   1       45      Bot
1309th    Johnathan Knapp               Independent         796   1       45      Bot
1310th    Mahdi Ghasemi                 Orbit               1301  1       45      Bot
1311th    Xianquan Chau                 Independent         1043  1       45      Bot
1312th    Rossana Marchi                Aspire              425   1       45      Bot
1313th    Angela Brathwaite             Sherpa              533   1       45      Bot
1314th    Max Baudains                  Independent         883   1       45      Bot
1315th    Helena Mateus                 Independent         348   1       45      Bot
1316th    Aakar Bhandari                Heat                715   1       45      Bot
1317th    Igor Černý                    Independent         705   1       45      Bot
1318th    Dunja Köhler                  Independent         981   1       45      Bot
1319th    Benjamin Moore                Independent         1107  1       45      Bot
1320th    Leonardo Mosca                Independent         1071  1       45      Bot
1321st    Peter Neumann                 Independent         726   1       44      Bot
1322nd    Damion Noble                  Dashix              674   1       44      Bot
1323rd    Gabija Šimkus                 Independent         698   1       44      Bot
1324th    Valeria Cruz                  Independent         580   1       44      Bot
1325th    Esther Asumu                  Aspire              992   1       44      Bot
1326th    Edgars Vanags                 Saint               961   1       44      Bot
1327th    David Wallin                  Titans              1287  1       44      Bot
1328th    Olof Eriksson                 Independent         1077  1       44      Bot
1329th    Jaap Van Dijk                 Kumori              1292  1       44      Bot
1330th    Leonardo Marino               Capital             1337  1       44      Bot
1331st    Lutz Pleuter                  Wadenterror         1262  1       44      Human
1332nd    Junpei Ishikawa               Independent         1027  1       44      Bot
1333rd    Pinelopi Angelopoulos         Independent         553   1       44      Bot
1334th    Tamira Becker                 AI Thunder          477   1       44      Bot
1335th    Lola Noël                     Independent         621   1       44      Bot
1336th    Isabella Mansilla             Independent         867   1       44      Bot
1337th    Clint Leblanc                 Ampex               727   1       44      Bot
1338th    Dafne Locatelli               Titans              685   1       44      Bot
1339th    Anastasija Riekstiņš          Independent         717   1       44      Bot
1340th    Kim Van Dam                   Independent         425   1       44      Bot
1341st    Jewel Blankenship             Patriot             443   1       44      Bot
1342nd    Stephan Kaiser                Independent         1241  1       44      Bot
1343rd    Sung Holt                     Independent         1117  1       44      Bot
1344th    Duri Myeong                   Independent         1165  1       44      Bot
1345th    Ayumi Harada                  Saint               434   1       44      Bot
1346th    Willy Juhl                    Titans              602   1       44      Bot
1347th    Mollie Potter                 Independent         634   1       44      Bot
1348th    Stacy Barnes                  Independent         1241  1       44      Bot
1349th    Estelle Cook                  Eckleson            796   1       44      Bot
1350th    Isabel Ramirez                Independent         440   1       44      Bot
1351st    Stéphanie Legrand             Monova              439   1       44      Bot
1352nd    Irving Ruiz                   Independent         826   1       44      Bot
1353rd    Roberta Ruggiero              Independent         912   1       44      Bot
1354th    Dorian Gonzalez               Fiber Shot          697   1       44      Bot
1355th    Gladys Vance                  Saint               741   1       44      Bot
1356th    chilly willy                  Dirty Rascals       1576  1       44      Human
1357th    Kadija Bah                    Windsail            679   1       44      Bot
1358th    Daniel Pereira                Capital             1335  1       44      Bot
1359th    Lars Ødegård                  Independent         1033  1       44      Bot
1360th    Lorena Rojas                  Independent         550   1       44      Bot
1361st    Merle Bravo                   Independent         472   1       44      Bot
1362nd    Sandra Morgan                 Independent         453   1       44      Bot
1363rd    Octavio Craig                 Aguda               1065  1       44      Bot
1364th    Nuha Shafeeq                  Pioma               982   1       44      Bot
1365th    Seung Gal                     eVOX                1222  1       44      Bot
1366th    Ilseong Pi                    Independent         980   1       44      Bot
1367th    Eva André                     Independent         671   1       44      Bot
1368th    Itai Suissa                   Independent         1088  1       44      Bot
1369th    Mohammad Caron                Independent         933   1       44      Bot
1370th    Kyle Scott                    Patriot             927   1       44      Bot
1371st    May Kelley                    Independent         752   1       44      Bot
1372nd    Martijn Blom                  Independent         875   1       44      Bot
1373rd    Paul Hendriks                 Independent         1111  1       44      Bot
1374th    Vladimir Šećerović            Independent         1143  1       44      Bot
1375th    Pascal Robert                 YES                 1019  1       44      Bot
1376th    Espen Hagen                   Independent         997   1       44      Bot
1377th    Ariel Jabarin                 Independent         1175  1       44      Bot
1378th    Alexander Wouters             Independent         1057  1       44      Bot
1379th    Marcel Hoekstra               Saint               724   1       43      Bot
1380th    Benjamin Leclerc              Pioma               971   1       43      Bot
1381st    Kim Blom                      Independent         442   1       43      Bot
1382nd    Theo Wilson                   HCOM                478   1       43      Bot
1383rd    Ethan Baptiste                Pioma               773   1       43      Bot
1384th    Nalu Lanwi                    Independent         784   1       43      Bot
1385th    Daniel Johansson              Pioma               467   1       43      Bot
1386th    Andrey Petrov                 Independent         1209  1       43      Bot
1387th    Hans Wolf                     Independent         1125  1       43      Bot
1388th    Kai Schulz                    Independent         1066  1       43      Bot
1389th    Youra Eogeum                  Independent         729   1       43      Bot
1390th    René Bertrand                 Independent         1237  1       43      Bot
1391st    Ieuan Hughes                  Independent         655   1       43      Bot
1392nd    Carol Berger                  eVOX                346   1       43      Bot
1393rd    Eula Park                     Independent         899   1       43      Bot
1394th    Teri Morrison                 AMO Solutions       500   1       43      Bot
1395th    Lorenzo Sullivan              Zonkify             1324  1       43      Bot
1396th    Roger Isaksen                 Aguda               1229  1       43      Bot
1397th    Nitai Masarweh                Independent         1048  1       43      Bot
1398th    Marie-Christine Gagne         True Form           388   1       43      Bot
1399th    Rosa Bruni                    Independent         388   1       43      Bot
1400th    Gösta Bergström               Independent         366   1       43      Bot
1401st    Gilles Fabre                  HCOM                1154  1       43      Bot
1402nd    Shari Lucas                   Independent         813   1       43      Bot
1403rd    Jeffrey Spears                Independent         759   1       43      Bot
1404th    Raymond Morel                 Independent         1280  1       43      Bot
1405th    Otávio Mendes                 Independent         844   1       43      Bot
1406th    Desislav Dobrev               Independent         1044  1       43      Bot
1407th    Ralf Kaufmann                 Independent         1103  1       43      Bot
1408th    Grigorios Konstantinidis      Ampex               969   1       43      Bot
1409th    Mark Hinds                    Independent         987   1       43      Bot
1410th    Xijing Voon                   Eckleson            862   1       42      Bot
1411th    Sandra Kirkegaard             Independent         673   1       42      Bot
1412th    Jean Boyer                    Independent         570   1       42      Bot
1413th    Milla Gavrilyuk               Hector              553   1       42      Bot
1414th    Wim Vermeulen                 Independent         894   1       42      Bot
1415th    Arline Schwartz               eVOX                965   1       42      Bot
1416th    Dávid Dudás                   Independent         1270  1       42      Bot
1417th    Alexander Bisgaard            Independent         1264  1       42      Bot
1418th    Shaoruo Kwok                  Independent         1030  1       42      Bot
1419th    Jamar Olsen                   Independent         1146  1       42      Bot
1420th    Kristjana Guðmundsson         Pioma               391   1       42      Bot
1421st    Tina Pfeifer                  Independent         477   1       42      Bot
1422nd    Darva Moscowitz               Independent         617   1       42      Bot
1423rd    Donna Watler                  Aria Olefson        429   1       42      Bot
1424th    Yuma Murata                   Independent         789   1       42      Bot
1425th    Sebastian Caicedo             Base                1017  1       42      Bot
1426th    Bogdana Kostić                Nuvio               529   1       42      Bot
1427th    Karine Bergeron               Independent         533   1       42      Bot
1428th    Pieteer Bos                   Zonkify             1199  1       42      Bot
1429th    Arjan Hendriks                Independent         1109  1       42      Bot
1430th    Kalina Milunović              Sherpa              317   1       42      Bot
1431st    Johannes Jonsson              Independent         1185  1       42      Bot
1432nd    Francisco Garcia              Independent         1126  1       42      Bot
1433rd    Tommy Mayer                   Independent         1018  1       42      Bot
1434th    Thomas Martin                 Independent         1044  1       42      Bot
1435th    Paula Brock                   Independent         407   1       42      Bot
1436th    Beniamin Duda                 Independent         525   1       42      Bot
1437th    Phumzile Mabuza               Base                763   1       42      Bot
1438th    Heidi Wenzel                  Independent         663   1       42      Bot
1439th    Andrej Moszkovicz             Independent         1177  1       42      Bot
1440th    Georgi Stefanov               Independent         804   1       42      Bot
1441st    Inara Abdullah                AMO Solutions       456   1       42      Bot
1442nd    Elisabeth Bernard             Independent         413   1       42      Bot
1443rd    Vasil Gnjatić                 Ampex               659   1       42      Bot
1444th    Marthe Lemoine                Krowen              936   1       42      Bot
1445th    Alma Gentile                  Fable               643   1       42      Bot
1446th    Emilia Engström               Saint               654   1       42      Bot
1447th    Nuwan Gunawardena             Independent         432   1       42      Bot
1448th    Arianna Marino                Independent         491   1       42      Bot
1449th    Galo Alvarez                  Sherpa              1042  1       42      Bot
1450th    Saskia De Vries               Independent         543   1       42      Bot
1451st    Linda Fleming                 Independent         409   1       42      Bot
1452nd    Emilio Medina                 Independent         1115  1       42      Bot
1453rd    Charles Friesen               Independent         1159  1       42      Bot
1454th    Lucio Hubbard                 Fable               922   1       42      Bot
1455th    Louise Bernard                Sherpa              408   1       42      Bot
1456th    Eleftheria Efthymiou          HCOM                374   1       42      Bot
1457th    Milos Pašalić                 Independent         785   1       42      Bot
1458th    Sabine Aboud                  Independent         947   1       42      Bot
1459th    Ane Boesen                    Independent         1102  1       42      Bot
1460th    Stephane Plante               Independent         1069  1       42      Bot
1461st    Åke Lindberg                  Independent         775   1       42      Bot
1462nd    Hussein Alam                  Douvan              753   1       42      Bot
1463rd    Romeo Melis                   YES                 1027  1       42      Bot
1464th    Charles Perrin                Independent         987   1       42      Bot
1465th    Gavin Michael                 Dashix              892   1       41      Bot
1466th    Timo Schwarz                  Douvan              875   1       41      Bot
1467th    Oliver Cockburn               Independent         926   1       41      Bot
1468th    Matias Rivera                 AI Thunder          1064  1       41      Bot
1469th    Faustino Meyer                Independent         1021  1       41      Bot
1470th    Jeanne Alves                  Independent         338   1       41      Bot
1471st    Kent Branch                   Independent         598   1       41      Bot
1472nd    Nicolas Smet                  Ampex               873   1       41      Bot
1473rd    Emy Faber                     Independent         605   1       41      Bot
1474th    Chana Klein                   Douvan              369   1       41      Bot
1475th    Dewayne Bass                  Aspire              1199  1       41      Bot
1476th    Quentin Lambert               Independent         1232  1       41      Bot
1477th    Christian Campbell            Patriot             1058  1       41      Bot
1478th    Judy Velazquez                Sherpa              612   1       41      Bot
1479th    Hugo Clement                  Delta               706   1       41      Bot
1480th    Sanzhar Asanov                Independent         1244  1       41      Bot
1481st    Keith George                  Fiber Shot          829   1       41      Bot
1482nd    Claudine Fox                  Independent         397   1       41      Bot
1483rd    Simone Albrecht               Independent         788   1       41      Bot
1484th    Alice Janssen                 Independent         790   1       41      Bot
1485th    Nadia Klimovets               Sherpa              632   1       41      Bot
1486th    Tadhg Reilly                  Independent         1250  1       41      Bot
1487th    Elvis Esparza                 Independent         1106  1       41      Bot
1488th    Emīlija Grīnbergs             Independent         403   1       41      Bot
1489th    Drago Hadžić                  Kumori              659   1       41      Bot
1490th    Fannie Delgado                Independent         979   1       41      Bot
1491st    Simone Petit                  Independent         282   1       41      Bot
1492nd    Costanza Ventura              Eckleson            985   1       41      Bot
1493rd    May Ayers                     Independent         1014  1       41      Bot
1494th    Chadwick Esquivel             Titans              847   1       41      Bot
1495th    Luis Morales                  Independent         1181  1       41      Bot
1496th    Elena Turcotte                Independent         684   1       41      Bot
1497th    Clint Gonzalez                Optech              1070  1       41      Bot
1498th    Liam Cuthbert                 YES                 1023  1       41      Bot
1499th    Helmi Lahtinen                Independent         985   1       41      Bot
1500th    Matthew Ekwona                Independent         1364  2       41      Bot
1501st    Vivien Keller                 Independent         553   1       40      Bot
1502nd    Christoffer Berggren          Independent         562   1       40      Bot
1503rd    Felix Schumann                AI Thunder          736   1       40      Bot
1504th    Ben Jansen                    Monova              690   1       40      Bot
1505th    Lea Schulz                    Meisterkuhl         1002  1       40      Bot
1506th    Isabel Reyes                  Independent         424   1       40      Bot
1507th    Yosyp Kozak                   Independent         546   1       40      Bot
1508th    Jade Lambert                  Hector              420   1       40      Bot
1509th    Julius Jung                   Optech              614   1       40      Bot
1510th    Ciro Martinelli               Independent         1262  1       40      Bot
1511th    Laura Galloway                True Form           861   1       40      Bot
1512th    Felicitas Arias               True Form           955   1       40      Bot
1513th    Niels Henriksen               Independent         635   1       40      Bot
1514th    Eunjoo Geum                   Independent         440   1       40      Bot
1515th    Knud Gade                     Independent         1106  1       40      Bot
1516th    Melanie Nixon                 Independent         307   1       40      Bot
1517th    Natalia Morales               Hector              316   1       40      Bot
1518th    Khalil Younis                 Independent         1008  1       40      Bot
1519th    Erika Kandjii                 Sherpa              419   1       40      Bot
1520th    Kyeong Yeong                  Independent         1353  1       40      Bot
1521st    Chungha Hwangmok              Independent         780   1       40      Bot
1522nd    Yanai Shachar                 Nuvio               1141  1       40      Bot
1523rd    Aarni Rantanen                Independent         593   1       40      Bot
1524th    Quentin Martin                Independent         904   1       40      Bot
1525th    Lata Kala'apai                Independent         338   1       40      Bot
1526th    Nea Laaksonen                 Fiber Shot          319   1       40      Bot
1527th    Elisa D'Amico                 Independent         719   1       40      Bot
1528th    Flora Crane                   Patriot             673   1       40      Bot
1529th    Viljo Kärkkäinen              Independent         601   1       40      Bot
1530th    Hayoon Dongbang               Ampex               575   1       40      Bot
1531st    Linnea Koskinen               Hector              605   1       40      Bot
1532nd    Doris McDonald                Independent         454   1       40      Bot
1533rd    Boris Livaja                  Independent         1037  1       40      Bot
1534th    Carson Cordova                Independent         1003  1       40      Bot
1535th    Malka Mimun                   Independent         326   1       40      Bot
1536th    Tami Webb                     Delta               340   1       40      Bot
1537th    Rachelle Thompson             Independent         465   1       40      Bot
1538th    Yeona Ga                      Independent         373   1       40      Bot
1539th    Anuson Inthavong              Independent         934   1       40      Bot
1540th    Boris Hayden                  Independent         281   1       40      Bot
1541st    Éabha Lyons                   AMO Solutions       244   1       40      Bot
1542nd    Annemarie Mulder              Monova              694   1       40      Bot
1543rd    Elin Pedersen                 Independent         684   1       40      Bot
1544th    Jakob Lundberg                Independent         1065  1       40      Bot
1545th    Cosimo Fiore                  Pioma               1009  1       40      Bot
1546th    Lumi Räsänen                  Ampex               709   1       40      Bot
1547th    Corrado Fusco                 Independent         1214  1       40      Bot
1548th    Youngmi Man                   Independent         727   1       40      Bot
1549th    Raymond Tate                  Independent         1013  1       40      Bot
1550th    Santos Mejia                  Independent         1069  1       40      Bot
1551st    Michael Brandt                Independent         1043  1       40      Bot
1552nd    Ibrahim Mwalimu               Optech              1116  1       40      Bot
1553rd    Osvaldo Griffin               Independent         1071  1       40      Bot
1554th    Vito Durham                   Independent         1096  1       40      Bot
1555th    Joey Gonzalez                 Independent         1202  1       40      Bot
1556th    Filip Pankow                  Independent         978   1       40      Bot
1557th    Josh Harris                   Independent         1912  1       40      Human
1558th    Woojin Seomun                 Independent         1132  1       40      Bot
1559th    Marine Renaud                 Douvan              576   1       39      Bot
1560th    Maria Ivanov                  Hinal               769   1       39      Bot
1561st    Marion Grant                  Independent         944   1       39      Bot
1562nd    Thomas Hogan                  Formix              1112  1       39      Bot
1563rd    Jordan Sosa                   Orbit               1015  1       39      Bot
1564th    Meritxell Coll                Independent         489   1       39      Bot
1565th    Hana Miyamoto                 Independent         540   1       39      Bot
1566th    Goran Pantić                  Independent         989   1       39      Bot
1567th    Melba Portillo                Nitro               479   1       39      Bot
1568th    André Caron                   Independent         1071  1       39      Bot
1569th    Karin Busch                   Independent         442   1       39      Bot
1570th    Stan Choi                     Independent         1226  1       39      Bot
1571st    Christian Möller              Independent         1232  1       39      Bot
1572nd    Maisie Murphy                 Independent         357   1       39      Bot
1573rd    Dagbjart Jónsson              Kumori              1341  1       39      Bot
1574th    Manon Schmit                  Roklit              675   1       39      Bot
1575th    Daigo Mori                    Zonkify             1147  1       39      Bot
1576th    Takashi Kondō                 Independent         1181  1       39      Bot
1577th    Katerina Soloveitchik         Independent         494   1       39      Bot
1578th    Karla McClain                 Independent         651   1       39      Bot
1579th    Davi Nascimento               Independent         813   1       39      Bot
1580th    Dovile Šimkus                 Formix              382   1       39      Bot
1581st    Cassio Conti                  Independent         1086  1       39      Bot
1582nd    Jacqueline Andre              Independent         408   1       39      Bot
1583rd    Lisa Berger                   Independent         405   1       39      Bot
1584th    Gregory Stark                 Independent         1122  1       39      Bot
1585th    Clara Garcia                  Nitro               262   1       39      Bot
1586th    Joost De Boer                 Independent         996   1       39      Bot
1587th    Marty Wright                  Fujikai             1067  1       39      Bot
1588th    Dwayne Day                    Ampex               844   1       39      Bot
1589th    Melvin Fuller                 Independent         912   1       39      Bot
1590th    Martin Bouba                  Independent         536   1       39      Bot
1591st    Yannick Stevens               Independent         1175  1       39      Bot
1592nd    Martijn Smit                  Independent         654   1       39      Bot
1593rd    Duncan Clements               Kumori              756   1       39      Bot
1594th    Kenneth Nyaga                 Independent         985   1       39      Bot
1595th    Thiago Soares                 Independent         1073  1       39      Bot
1596th    Gerhard Schubert              Independent         1136  1       39      Bot
1597th    Mamadou Sow                   Independent         972   1       39      Bot
1598th    Julia Schulte                 True Form           574   1       38      Bot
1599th    Bora Ju                       Independent         602   1       38      Bot
1600th    Adam Mizzi                    Kumori              1303  1       38      Bot
1601st    Fuyuhiko Kondō                Independent         1035  1       38      Bot
1602nd    Scot Peralta                  Independent         602   1       38      Bot
1603rd    Marta Hanák                   Independent         445   1       38      Bot
1604th    Jose Pascual                  Independent         1338  1       38      Bot
1605th    Denver Bradshaw               Optech              699   1       38      Bot
